/Users/zhaoqianxue/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
[*] Detected total rows: 304391
[*] Total Target Rows: 304391
[*] Remaining Batches: 3044 (Batch Size: 100)
[*] Parallel Workers: 10
--------------------------------------------------

[+] PROGRESS:   6.57% | Batches Done: 200/3044 | ETA: 22.4 min
[+] PROGRESS:   6.60% | Batches Done: 201/3044 | ETA: 22.3 min
[+] PROGRESS:   6.64% | Batches Done: 202/3044 | ETA: 22.2 min
[+] PROGRESS:   6.67% | Batches Done: 203/3044 | ETA: 22.1 min
[+] PROGRESS:   6.70% | Batches Done: 204/3044 | ETA: 22.1 min
[+] PROGRESS:   6.73% | Batches Done: 205/3044 | ETA: 22.3 min
[+] PROGRESS:   6.77% | Batches Done: 206/3044 | ETA: 22.3 min
[+] PROGRESS:   6.80% | Batches Done: 207/3044 | ETA: 22.4 min
[+] PROGRESS:   6.83% | Batches Done: 208/3044 | ETA: 22.3 min
[+] PROGRESS:   6.87% | Batches Done: 209/3044 | ETA: 22.2 min
[+] PROGRESS:   6.90% | Batches Done: 210/3044 | ETA: 22.2 min
[+] PROGRESS:   6.93% | Batches Done: 211/3044 | ETA: 22.1 min
[+] PROGRESS:   6.96% | Batches Done: 212/3044 | ETA: 22.0 min
[+] PROGRESS:   7.00% | Batches Done: 213/3044 | ETA: 21.9 min
[+] PROGRESS:   7.03% | Batches Done: 214/3044 | ETA: 21.8 min
[+] PROGRESS:   7.06% | Batches Done: 215/3044 | ETA: 21.8 min
[+] PROGRESS:   7.10% | Batches Done: 216/3044 | ETA: 21.7 min
[+] PROGRESS:   7.13% | Batches Done: 217/3044 | ETA: 21.7 min
[+] PROGRESS:   7.16% | Batches Done: 218/3044 | ETA: 21.6 min
[+] PROGRESS:   7.19% | Batches Done: 219/3044 | ETA: 21.6 min
[+] PROGRESS:   7.23% | Batches Done: 220/3044 | ETA: 21.5 min
[+] PROGRESS:   7.26% | Batches Done: 221/3044 | ETA: 21.4 min
[+] PROGRESS:   7.29% | Batches Done: 222/3044 | ETA: 21.4 min
[+] PROGRESS:   7.33% | Batches Done: 223/3044 | ETA: 21.3 min
[+] PROGRESS:   7.36% | Batches Done: 224/3044 | ETA: 21.3 min
[+] PROGRESS:   7.39% | Batches Done: 225/3044 | ETA: 21.4 min
[+] PROGRESS:   7.42% | Batches Done: 226/3044 | ETA: 21.3 min
[+] PROGRESS:   7.46% | Batches Done: 227/3044 | ETA: 21.3 min
[+] PROGRESS:   7.49% | Batches Done: 228/3044 | ETA: 21.2 min
[+] PROGRESS:   7.52% | Batches Done: 229/3044 | ETA: 21.1 min
[+] PROGRESS:   7.56% | Batches Done: 230/3044 | ETA: 21.2 min
[+] PROGRESS:   7.59% | Batches Done: 231/3044 | ETA: 21.1 min
[+] PROGRESS:   7.62% | Batches Done: 232/3044 | ETA: 21.0 min
[+] PROGRESS:   7.65% | Batches Done: 233/3044 | ETA: 21.0 min
[+] PROGRESS:   7.69% | Batches Done: 234/3044 | ETA: 21.0 min
[+] PROGRESS:   7.72% | Batches Done: 235/3044 | ETA: 20.9 min
[+] PROGRESS:   7.75% | Batches Done: 236/3044 | ETA: 20.8 min
[+] PROGRESS:   7.79% | Batches Done: 237/3044 | ETA: 20.8 min
[+] PROGRESS:   7.82% | Batches Done: 238/3044 | ETA: 20.7 min
[+] PROGRESS:   7.85% | Batches Done: 239/3044 | ETA: 20.7 min
[+] PROGRESS:   7.88% | Batches Done: 240/3044 | ETA: 20.6 min
[+] PROGRESS:   7.92% | Batches Done: 241/3044 | ETA: 20.6 min
[+] PROGRESS:   7.95% | Batches Done: 242/3044 | ETA: 20.5 min
[+] PROGRESS:   7.98% | Batches Done: 243/3044 | ETA: 20.5 min
[+] PROGRESS:   8.02% | Batches Done: 244/3044 | ETA: 20.4 min
[+] PROGRESS:   8.05% | Batches Done: 245/3044 | ETA: 20.4 min
[+] PROGRESS:   8.08% | Batches Done: 246/3044 | ETA: 20.4 min
[+] PROGRESS:   8.11% | Batches Done: 247/3044 | ETA: 20.4 min
[+] PROGRESS:   8.15% | Batches Done: 248/3044 | ETA: 20.5 min
[+] PROGRESS:   8.18% | Batches Done: 249/3044 | ETA: 20.5 min
[+] PROGRESS:   8.21% | Batches Done: 250/3044 | ETA: 20.4 min
[+] PROGRESS:   8.25% | Batches Done: 251/3044 | ETA: 20.5 min
[+] PROGRESS:   8.28% | Batches Done: 252/3044 | ETA: 20.4 min
[+] PROGRESS:   8.31% | Batches Done: 253/3044 | ETA: 20.3 min
[+] PROGRESS:   8.34% | Batches Done: 254/3044 | ETA: 20.3 min
[+] PROGRESS:   8.38% | Batches Done: 255/3044 | ETA: 20.3 min
[+] PROGRESS:   8.41% | Batches Done: 256/3044 | ETA: 20.2 min
[+] PROGRESS:   8.44% | Batches Done: 257/3044 | ETA: 20.1 min
[+] PROGRESS:   8.48% | Batches Done: 258/3044 | ETA: 20.1 min
[+] PROGRESS:   8.51% | Batches Done: 259/3044 | ETA: 20.1 min
[+] PROGRESS:   8.54% | Batches Done: 260/3044 | ETA: 20.0 min
[+] PROGRESS:   8.57% | Batches Done: 261/3044 | ETA: 19.9 min
[+] PROGRESS:   8.61% | Batches Done: 262/3044 | ETA: 19.9 min
[+] PROGRESS:   8.64% | Batches Done: 263/3044 | ETA: 19.9 min
[+] PROGRESS:   8.67% | Batches Done: 264/3044 | ETA: 19.8 min
[+] PROGRESS:   8.71% | Batches Done: 265/3044 | ETA: 19.9 min
[+] PROGRESS:   8.74% | Batches Done: 266/3044 | ETA: 19.9 min
[+] PROGRESS:   8.77% | Batches Done: 267/3044 | ETA: 19.8 min
[+] PROGRESS:   8.80% | Batches Done: 268/3044 | ETA: 19.8 min
[+] PROGRESS:   8.84% | Batches Done: 269/3044 | ETA: 19.7 min
[+] PROGRESS:   8.87% | Batches Done: 270/3044 | ETA: 19.7 min
[+] PROGRESS:   8.90% | Batches Done: 271/3044 | ETA: 19.6 min
[+] PROGRESS:   8.94% | Batches Done: 272/3044 | ETA: 19.6 min
[+] PROGRESS:   8.97% | Batches Done: 273/3044 | ETA: 19.5 min
[+] PROGRESS:   9.00% | Batches Done: 274/3044 | ETA: 19.5 min
[+] PROGRESS:   9.03% | Batches Done: 275/3044 | ETA: 19.5 min
[+] PROGRESS:   9.07% | Batches Done: 276/3044 | ETA: 19.4 min
[+] PROGRESS:   9.10% | Batches Done: 277/3044 | ETA: 19.4 min
[+] PROGRESS:   9.13% | Batches Done: 278/3044 | ETA: 19.4 min
[+] PROGRESS:   9.17% | Batches Done: 279/3044 | ETA: 19.4 min
[+] PROGRESS:   9.20% | Batches Done: 280/3044 | ETA: 19.4 min
[+] PROGRESS:   9.23% | Batches Done: 281/3044 | ETA: 19.4 min
[+] PROGRESS:   9.26% | Batches Done: 282/3044 | ETA: 19.4 min
[+] PROGRESS:   9.30% | Batches Done: 283/3044 | ETA: 19.4 min
[+] PROGRESS:   9.33% | Batches Done: 284/3044 | ETA: 19.4 min
[+] PROGRESS:   9.36% | Batches Done: 285/3044 | ETA: 19.4 min
[+] PROGRESS:   9.40% | Batches Done: 286/3044 | ETA: 19.4 min
[+] PROGRESS:   9.43% | Batches Done: 287/3044 | ETA: 19.4 min
[+] PROGRESS:   9.46% | Batches Done: 288/3044 | ETA: 19.4 min
[+] PROGRESS:   9.49% | Batches Done: 289/3044 | ETA: 19.3 min
[+] PROGRESS:   9.53% | Batches Done: 290/3044 | ETA: 19.3 min
[+] PROGRESS:   9.56% | Batches Done: 291/3044 | ETA: 19.3 min
[+] PROGRESS:   9.59% | Batches Done: 292/3044 | ETA: 19.2 min
[+] PROGRESS:   9.63% | Batches Done: 293/3044 | ETA: 19.2 min
[+] PROGRESS:   9.66% | Batches Done: 294/3044 | ETA: 19.2 min
[+] PROGRESS:   9.69% | Batches Done: 295/3044 | ETA: 19.1 min
[+] PROGRESS:   9.72% | Batches Done: 296/3044 | ETA: 19.2 min
[+] PROGRESS:   9.76% | Batches Done: 297/3044 | ETA: 19.2 min
[+] PROGRESS:   9.79% | Batches Done: 298/3044 | ETA: 19.2 min
[+] PROGRESS:   9.82% | Batches Done: 299/3044 | ETA: 19.1 min
[+] PROGRESS:   9.86% | Batches Done: 300/3044 | ETA: 19.1 min
[+] PROGRESS:   9.89% | Batches Done: 301/3044 | ETA: 19.1 min
[+] PROGRESS:   9.92% | Batches Done: 302/3044 | ETA: 19.0 min
[+] PROGRESS:   9.95% | Batches Done: 303/3044 | ETA: 19.0 min
[+] PROGRESS:   9.99% | Batches Done: 304/3044 | ETA: 19.2 min
